title,token_count,arxiv_id,category,categories,query_field,published_date,collection_timestamp
MotiF: Making Text Count in Image Animation with Motion Focal Loss,263,2412.16153v1,cs.CV,"cs.CV,cs.AI",artificial intelligence,2024-12-20,2024-12-23T21:06:22.910736
Offline Reinforcement Learning for LLM Multi-Step Reasoning,288,2412.16145v1,cs.LG,"cs.LG,cs.AI,cs.CL",artificial intelligence,2024-12-20,2024-12-23T21:06:22.911734
Can LLMs Obfuscate Code? A Systematic Analysis of Large Language Models into Assembly Code Obfuscation,348,2412.16135v1,cs.CR,"cs.CR,cs.AI,cs.CL",artificial intelligence,2024-12-20,2024-12-23T21:06:22.912733
Convolutional Deep Operator Networks for Learning Nonlinear Focused Ultrasound Wave Propagation in Heterogeneous Spinal Cord Anatomy,328,2412.16118v1,physics.med-ph,"physics.med-ph,cs.AI",artificial intelligence,2024-12-20,2024-12-23T21:06:22.912733
Demystifying the Potential of ChatGPT-4 Vision for Construction Progress Monitoring,209,2412.16108v1,cs.CV,"cs.CV,cs.AI",artificial intelligence,2024-12-20,2024-12-23T21:06:22.913729
Explainable AI for Multivariate Time Series Pattern Exploration: Latent Space Visual Analytics with Time Fusion Transformer and Variational Autoencoders in Power Grid Event Diagnosis,349,2412.16098v1,cs.LG,"cs.LG,cs.AI",artificial intelligence,2024-12-20,2024-12-23T21:06:22.914726
Dual-Polarized Beyond Diagonal RIS,166,2412.16097v1,cs.IT,"cs.IT,eess.SP,math.IT",artificial intelligence,2024-12-20,2024-12-23T21:06:22.915724
The Evolution of LLM Adoption in Industry Data Curation Practices,328,2412.16089v1,cs.HC,"cs.HC,cs.AI",artificial intelligence,2024-12-20,2024-12-23T21:06:22.915724
Towards Interpretable Radiology Report Generation via Concept Bottlenecks using a Multi-Agentic RAG,202,2412.16086v1,cs.IR,"cs.IR,cs.AI,cs.CL,cs.CV,eess.IV",artificial intelligence,2024-12-20,2024-12-23T21:06:22.916720
Benchmarking stochasticity behind reproducibility: denoising strategies in Ta$_2$O$_5$ memristors,235,2412.16080v1,cond-mat.mes-hall,"cond-mat.mes-hall,cond-mat.mtrl-sci",artificial intelligence,2024-12-20,2024-12-23T21:06:22.917719
Formal Mathematical Reasoning: A New Frontier in AI,249,2412.16075v1,cs.AI,"cs.AI,cs.LG,cs.LO",artificial intelligence,2024-12-20,2024-12-23T21:06:22.917719
Label-Efficient Data Augmentation with Video Diffusion Models for Guidewire Segmentation in Cardiac Fluoroscopy,247,2412.16050v1,cs.CV,"cs.CV,cs.AI",artificial intelligence,2024-12-20,2024-12-23T21:06:22.918715
Applying Predictive Analytics to Occupational Health and Safety in India,330,2412.16038v1,cs.CY,"cs.CY,cs.AI",artificial intelligence,2024-12-20,2024-12-23T21:06:22.919712
A Framework for Streaming Event-Log Prediction in Business Processes,173,2412.16032v1,cs.AI,"cs.AI,cs.LG",artificial intelligence,2024-12-20,2024-12-23T21:06:22.920710
The Only Way is Ethics: A Guide to Ethical Research with Large Language Models,263,2412.16022v1,cs.CL,"cs.CL,cs.AI",artificial intelligence,2024-12-20,2024-12-23T21:06:22.920710
Choose Your Explanation: A Comparison of SHAP and GradCAM in Human Activity Recognition,315,2412.16003v1,cs.LG,"cs.LG,cs.AI",artificial intelligence,2024-12-20,2024-12-23T21:06:22.921707
CNN-LSTM Hybrid Deep Learning Model for Remaining Useful Life Estimation,281,2412.15998v1,cs.LG,"cs.LG,cs.AI",artificial intelligence,2024-12-20,2024-12-23T21:06:22.922705
Data-Centric Improvements for Enhancing Multi-Modal Understanding in Spoken Conversation Modeling,187,2412.15995v1,cs.CL,"cs.CL,cs.AI,cs.SD,eess.AS",artificial intelligence,2024-12-20,2024-12-23T21:06:22.922705
APIRL: Deep Reinforcement Learning for REST API Fuzzing,218,2412.15991v1,cs.SE,"cs.SE,cs.AI,cs.NI",artificial intelligence,2024-12-20,2024-12-23T21:06:22.923702
Feedback Regulated Opto-Mechanical Soft Robotic Actuators,236,2412.15990v1,cs.RO,"cs.RO,cond-mat.mtrl-sci",artificial intelligence,2024-12-20,2024-12-23T21:06:22.924699
Never Reset Again: A Mathematical Framework for Continual Inference in Recurrent Neural Networks,178,2412.15983v1,cs.LG,"cs.LG,cs.AI",artificial intelligence,2024-12-20,2024-12-23T21:06:22.924699
Self-Supervised Radiograph Anatomical Region Classification -- How Clean Is Your Real-World Data?,282,2412.15967v1,cs.CV,"cs.CV,cs.AI",artificial intelligence,2024-12-20,2024-12-23T21:06:22.925696
